,Q
0,0.12784023668639055
1,0.2570077587247917
2,0.22565245304428316
3,0.27205747687799514
4,0.24535668428439186
5,0.2823122282175626
6,0.2886920623006193
7,0.27191015339663993
8,0.28235017468422463
9,0.2749703722973754
10,0.2900556769848771
11,0.314682333217713
12,0.29166450118420956
13,0.3012235594591986
14,0.30129232582711013
15,0.14294665172200138
16,0.21988479839719513
17,0.23785812383869098
18,0.25572326852049687
19,0.23308256172839503
20,0.25799341327977315
21,0.2601003314521186
22,0.2856287776969911
23,0.26006822847482186
24,0.2903290957028811
25,0.28040846516121243
26,0.26239305121979417
27,0.27204012024511504
28,0.2652337777777778
29,0.2811687363038715
30,0.1359152331158931
31,0.23327611395178965
32,0.22497279039219367
33,0.26735972978044664
34,0.2468511541483978
35,0.24702593725871486
36,0.25289065330274124
37,0.27625244444444447
38,0.2531978729444986
39,0.2509893161282658
40,0.2838604821037254
41,0.2994783261399887
42,0.280123655015584
43,0.24071670088153607
44,0.27173848129236466
45,0.1347036813683835
46,0.21871901645845726
47,0.24580248617781042
48,0.22780395996023345
49,0.24356505121084535
50,0.26626653528024125
51,0.2642168184713131
52,0.2766187290721588
53,0.2746138701504838
54,0.2847672821376803
55,0.2836500724550175
56,0.2647278178166352
57,0.253023836247637
58,0.2668348499203149
59,0.2580606281957633
60,0.13303086523865743
61,0.21650002685676137
62,0.22877048930130336
63,0.23876146620544797
64,0.252336588133417
65,0.2362031073532554
66,0.2309394234124539
67,0.260154875305333
68,0.2500490580847724
69,0.2556436441816716
70,0.25268622222222226
71,0.2695437307772702
72,0.2828167457971274
73,0.2517708333333333
74,0.237838243572903
75,0.13864393494023125
76,0.21073241809530316
77,0.2598621864473109
78,0.23410076005005953
79,0.2363741656705447
80,0.22726030836483932
81,0.2320124766257245
82,0.2501780979869419
83,0.2584939157185059
84,0.2628785888534435
85,0.27446325659171666
86,0.24974663801220448
87,0.24506554390994054
88,0.26787406085442966
89,0.26033886355123714
90,0.23130099316337432
91,0.24156122190590923
92,0.21597226812376524
93,0.23212088888888888
94,0.25976880071869274
95,0.2524338525051604
96,0.262718399541719
97,0.2712928980997975
98,0.25743915488468455
99,0.2519014354914934
100,0.27179092784394343
101,0.27960288948720136
102,0.3033638751358532
103,0.2899491857088751
104,0.2766990653647466
105,0.20647734437104245
106,0.2105874894336433
107,0.23280216209829865
108,0.2311915931694502
109,0.26708936884229595
110,0.24216175642709697
111,0.26615897838425306
112,0.252587727528617
113,0.2841007630939993
114,0.27039475648720473
115,0.2580709475425331
116,0.25700511322132946
117,0.272154857560263
118,0.28546819008448365
119,0.2747926179738125
120,0.11939956147748357
121,0.22936441555850556
122,0.22694260410263414
123,0.26101738648695827
124,0.25992490071366714
125,0.25156817557461614
126,0.26961464736598584
127,0.2810284735349717
128,0.2771116841896449
129,0.28031806110924573
130,0.2742243241838606
131,0.27108565035127613
132,0.29287295927941454
133,0.2886798476490285
134,0.28308401763072094
135,0.10394795778393662
136,0.2080817298155128
137,0.24189756441989124
138,0.2543451952275242
139,0.2538155352612099
140,0.2532707698682484
141,0.2514843310189529
142,0.25864169272429605
143,0.2619241359769255
144,0.257952800094518
145,0.2350452772820411
146,0.2286823753169907
147,0.2849348915370508
148,0.2706858213995705
149,0.25183696588325666
150,0.15450138504155125
151,0.24319832434032282
152,0.2131296843739736
153,0.2552206403591682
154,0.2652853260869565
155,0.2598440218552547
156,0.2610615548204159
157,0.2677763182585851
158,0.28485251208339213
159,0.29000000000000004
160,0.24240686632578526
161,0.2674087013646272
162,0.29067567567567576
163,0.3021504972790392
164,0.26820380940752725
165,0.20831008328683326
166,0.24328772799472076
167,0.22215130341306102
168,0.24185521030245744
169,0.24431701972242517
170,0.23332498539110114
171,0.2751923437793207
172,0.26870708546384225
173,0.29184027777777777
174,0.25684075967859754
175,0.2775712198685172
176,0.2737770061728395
177,0.2918134858072813
178,0.25059624441492573
179,0.28157609149344687
180,0.10145799674256448
181,0.2212438750351113
182,0.25474948395571406
183,0.2412319526265987
184,0.22088189716585516
185,0.2318918918918919
186,0.24486058601134214
187,0.2734501388846494
188,0.23507224620003755
189,0.26300618399919307
190,0.24382060424094576
191,0.2524755464315904
192,0.27094163516068054
193,0.27681017538267727
194,0.2947049777538894
195,0.2280536783295789
196,0.2125275172368698
197,0.2320372623358986
198,0.2133345843497842
199,0.21965904581667223
200,0.2549329406045354
201,0.2632058287795993
202,0.2719539810080351
203,0.26483768061550006
204,0.2505596915814797
205,0.2687505839903974
206,0.2800461900736626
207,0.284940533707253
208,0.2750084443610433
209,0.27656730189405776
210,0.08942420343709793
211,0.26840910988168687
212,0.22156529009525516
213,0.2572644265887509
214,0.2628559191871455
215,0.25993585222252746
216,0.27913563839660255
217,0.2850381025519849
218,0.2526264208658465
219,0.2806961838374291
220,0.30061662238860043
221,0.28889647706715293
222,0.28075861371256794
223,0.30318633890035657
224,0.29306311346183184
