Thomas S. Huang , Xiang Sean Zhou
Arnold W. M. Smeulders , Theo Gevers
Dionysius P. Huijsmans , Nicu Sebe
Anil K. Jain , M&aacute;rio A. T. Figueiredo
Amnon Shashua , Anat Levin
Ross J. Micheals , Terrance E. Boult
Douglas R. Heisterkamp , Jing Peng
H. K. Dai , Jing Peng
Douglas R. Heisterkamp , H. K. Dai
Gerardo Hermosillo , Olivier D. Faugeras
Charles V. Stewart , Hong Shen
Badrinath Roysam , Hong Shen
Gang Lin , Hong Shen
Hong Shen , Howard L. Tanenbaum
Badrinath Roysam , Charles V. Stewart
Charles V. Stewart , Gang Lin
Charles V. Stewart , Howard L. Tanenbaum
Badrinath Roysam , Gang Lin
Badrinath Roysam , Howard L. Tanenbaum
Gang Lin , Howard L. Tanenbaum
Anthony J. Yezzi , Jerry L. Prince
Carlo Tomasi , Salih Burak G&ouml;kt&uuml;rk
Richard Szeliski , Sing Bing Kang
Jinxiang Chai , Sing Bing Kang
Jinxiang Chai , Richard Szeliski
Joshua Gluckman , Shree K. Nayar
Hai Tao , Harpreet S. Sawhney
Hai Tao , Rakesh Kumar
Harpreet S. Sawhney , Rakesh Kumar
Christophe Vestri , Frederic Devernay
Antonio Robles-Kelly , Edwin R. Hancock
Nikos Canterakis , Stefan Rahmann
Edmond Boyer , Svetlana Lazebnik
Jean Ponce , Svetlana Lazebnik
Edmond Boyer , Jean Ponce
Andreas Koschan , David L. Page
David L. Page , Yiyong Sun
David L. Page , Joon Ki Paik
David L. Page , Mongi A. Abidi
Andreas Koschan , Yiyong Sun
Andreas Koschan , Joon Ki Paik
Andreas Koschan , Mongi A. Abidi
Joon Ki Paik , Yiyong Sun
Mongi A. Abidi , Yiyong Sun
Joon Ki Paik , Mongi A. Abidi
Asi Elad (Elbaz) , Ron Kimmel
Chi-Keung Tang , Wai-Shun Tong
G&eacute;rard G. Medioni , Wai-Shun Tong
Chi-Keung Tang , G&eacute;rard G. Medioni
Ce Liu , Heung-Yeung Shum
Ce Liu , Changshui Zhang
Changshui Zhang , Heung-Yeung Shum
Brendan J. Frey , Nebojsa Jojic
Stan Z. Li , XinWen Hou
HongJiang Zhang , Stan Z. Li
QianSheng Cheng , Stan Z. Li
HongJiang Zhang , XinWen Hou
QianSheng Cheng , XinWen Hou
HongJiang Zhang , QianSheng Cheng
Andrea Selinger , Randal C. Nelson
Chris Stauffer , W. Eric L. Grimson
Charless Fowlkes , Serge Belongie
Charless Fowlkes , Jitendra Malik
Jitendra Malik , Serge Belongie
Padmanabhan Soundararajan , Sudeep Sarkar
Andreas Turina , Tinne Tuytelaars
Andreas Turina , Luc J. Van Gool
Luc J. Van Gool , Tinne Tuytelaars
Qifa Ke , Takeo Kanade
Amnon Shashua , Lior Wolf
Christopher Geyer , Kostas Daniilidis
Adrien Bartoli , Peter F. Sturm
Guang Jiang , Hung-Tat Tsui
Guang Jiang , Long Quan
Guang Jiang , Shang-Qian Liu
Hung-Tat Tsui , Long Quan
Hung-Tat Tsui , Shang-Qian Liu
Long Quan , Shang-Qian Liu
Gerald Sommer , Weichuan Yu
Kostas Daniilidis , Weichuan Yu
Gerald Sommer , Kostas Daniilidis
David E. DiFranco , Tat-Jen Cham
David E. DiFranco , James M. Rehg
James M. Rehg , Tat-Jen Cham
Matthew Brand , Rahul Bhotika
Srinivasa G. Narasimhan , Yoav Y. Schechner
Shree K. Nayar , Yoav Y. Schechner
Shree K. Nayar , Srinivasa G. Narasimhan
Bryan S. Morse , Duane Schwartzwald
Heung-Yeung Shum , Stephen Lin
Lifeng Wang , Sing Bing Kang
Lifeng Wang , Richard Szeliski
Heung-Yeung Shum , Lifeng Wang
Richard Szeliski , Sing Bing Kang
Heung-Yeung Shum , Sing Bing Kang
Heung-Yeung Shum , Richard Szeliski
A. L. Bertozzi , Marcelo Bertalm&iacute;o
Guillermo Sapiro , Marcelo Bertalm&iacute;o
A. L. Bertozzi , Guillermo Sapiro
Dirk Schulz , Wolfram Burgard
Dieter Fox , Dirk Schulz
Armin B. Cremers , Dirk Schulz
Dieter Fox , Wolfram Burgard
Armin B. Cremers , Wolfram Burgard
Armin B. Cremers , Dieter Fox
Camillo J. Taylor , John R. Spletzer
Andrew J. Davison , Nobuyuki Kita
Clark F. Olson , Yalin Xiong
