Anthony D. Worrall , Arthur E. C. Pece
Anurag Mittal , Larry S. Davis
Anuj Srivastava , Xiuwen Liu
Anuj Srivastava , Ulf Grenander
Ulf Grenander , Xiuwen Liu
Dennis Tell , Stefan Carlsson
Ben Tordoff , David W. Murray
Arnold W. M. Smeulders , Jan-Mark Geusebroek
Jan-Mark Geusebroek , Joost van de Weijer
Arnold W. M. Smeulders , Joost van de Weijer
Jos&eacute; L. Marroqu&iacute;n , Mariano Rivera
Cordelia Schmid , Krystian Mikolajczyk
Arjan Kuijper , Luc Florack
Andrea J. van Doorn , Jan J. Koenderink
Dorin Comaniciu , Ying Zhu
Stuart C. Schwartz , Ying Zhu
Visvanathan Ramesh , Ying Zhu
Dorin Comaniciu , Stuart C. Schwartz
Dorin Comaniciu , Visvanathan Ramesh
Stuart C. Schwartz , Visvanathan Ramesh
Arjan Kuijper , Luc Florack
Bing Wang , Kah Kay Sung
Bing Wang , Teck Khim Ng
Kah Kay Sung , Teck Khim Ng
Efstathios Hadjidemetriou , Michael D. Grossberg
Efstathios Hadjidemetriou , Shree K. Nayar
Michael D. Grossberg , Shree K. Nayar
Haifeng Chen , Peter Meer
Christophe Chefd'Hotel , David Tschumperl&eacute;
Christophe Chefd'Hotel , Rachid Deriche
Christophe Chefd'Hotel , Olivier D. Faugeras
David Tschumperl&eacute; , Rachid Deriche
David Tschumperl&eacute; , Olivier D. Faugeras
Olivier D. Faugeras , Rachid Deriche
Edwin R. Hancock , Marco Carcassoni
Allan D. Jepson , Gustavo Carneiro
Gustavo Carneiro , Nuno Vasconcelos
Jitendra Malik , Xiaofeng Ren
Ann B. Lee , Kim Steenstrup Pedersen
Igor Ravve , Ravi Malladi
Alexander Zelinsky , Gareth Loy
Gerald Sommer , Michael Felsberg
Patrick S. Huggins , Steven W. Zucker
Guy Gilboa , Nir A. Sochen
Guy Gilboa , Yehoshua Y. Zeevi
Nir A. Sochen , Yehoshua Y. Zeevi
Andrew Zisserman , Frederik Schaffalitzky
Gavriel Speyer , Michael Werman
Demetri Terzopoulos , M. Alex O. Vasilescu
Roman Goldenberg , Ron Kimmel
Ehud Rivlin , Roman Goldenberg
Michael Rudzsky , Roman Goldenberg
Ehud Rivlin , Ron Kimmel
Michael Rudzsky , Ron Kimmel
Ehud Rivlin , Michael Rudzsky
Michael J. Black , Ronan Fablet
Jean-Philippe Tarel , Sio-Song Ieng
Jean-Philippe Tarel , Pierre Charbonnier
Pierre Charbonnier , Sio-Song Ieng
Rahul Swaminathan , Sing Bing Kang
Rahul Swaminathan , Richard Szeliski
Antonio Criminisi , Rahul Swaminathan
Rahul Swaminathan , Shree K. Nayar
Richard Szeliski , Sing Bing Kang
Antonio Criminisi , Sing Bing Kang
Shree K. Nayar , Sing Bing Kang
Antonio Criminisi , Richard Szeliski
Richard Szeliski , Shree K. Nayar
Antonio Criminisi , Shree K. Nayar
Joan Lasenby , Maurice Ringer
Guang Jiang , Hung-Tat Tsui
Guang Jiang , Long Quan
Andrew Zisserman , Guang Jiang
Hung-Tat Tsui , Long Quan
Andrew Zisserman , Hung-Tat Tsui
Andrew Zisserman , Long Quan
Kiran S. Bhat , Steven M. Seitz
Jovan Popovic , Kiran S. Bhat
Jovan Popovic , Steven M. Seitz
Bill Triggs , Cristian Sminchisescu
Song Chun Zhu , Yizhou Wang
Harpreet S. Sawhney , Wen-Yi Zhao
Daphna Weinshall , Mi-Suen Lee
Daphna Weinshall , Tom&aacute;s Brodsk&yacute;
Daphna Weinshall , M. Trajkovic
Daphna Weinshall , Doron Feldman
Mi-Suen Lee , Tom&aacute;s Brodsk&yacute;
M. Trajkovic , Mi-Suen Lee
Doron Feldman , Mi-Suen Lee
M. Trajkovic , Tom&aacute;s Brodsk&yacute;
Doron Feldman , Tom&aacute;s Brodsk&yacute;
Doron Feldman , M. Trajkovic
Josephine Sullivan , Stefan Carlsson
Jaco Vermaak , Patrick P&eacute;rez
Jaco Vermaak , Michel Gangnet
Andrew Blake , Jaco Vermaak
Michel Gangnet , Patrick P&eacute;rez
Andrew Blake , Patrick P&eacute;rez
Andrew Blake , Michel Gangnet
Carine Hue , Patrick P&eacute;rez
Jaco Vermaak , Patrick P&eacute;rez
Michel Gangnet , Patrick P&eacute;rez
Carine Hue , Jaco Vermaak
