,Source,Target,Type,Kind,Id
0,0,1,Undirected,exist,0
1,0,2,Undirected,exist,1
2,0,3,Undirected,exist,2
3,0,4,Undirected,exist,3
4,0,5,Undirected,exist,4
5,0,6,Undirected,exist,5
6,0,7,Undirected,exist,6
7,0,8,Undirected,exist,7
8,0,10,Undirected,exist,8
9,0,11,Undirected,exist,9
10,0,12,Undirected,exist,10
11,0,13,Undirected,exist,11
12,0,17,Undirected,exist,12
13,0,19,Undirected,exist,13
14,0,21,Undirected,exist,14
15,0,31,Undirected,exist,15
16,1,2,Undirected,exist,16
17,1,3,Undirected,exist,17
18,1,7,Undirected,exist,18
19,1,13,Undirected,exist,19
20,1,17,Undirected,exist,20
21,1,19,Undirected,exist,21
22,1,21,Undirected,exist,22
23,1,30,Undirected,exist,23
24,2,3,Undirected,exist,24
25,2,7,Undirected,exist,25
26,2,8,Undirected,exist,26
27,2,9,Undirected,exist,27
28,2,13,Undirected,exist,28
29,2,27,Undirected,exist,29
30,2,28,Undirected,exist,30
31,2,32,Undirected,exist,31
32,3,7,Undirected,exist,32
33,3,12,Undirected,exist,33
34,3,13,Undirected,exist,34
35,4,6,Undirected,exist,35
36,4,10,Undirected,exist,36
37,5,6,Undirected,exist,37
38,5,10,Undirected,exist,38
39,5,16,Undirected,exist,39
40,6,16,Undirected,exist,40
41,8,30,Undirected,exist,41
42,8,32,Undirected,exist,42
43,8,33,Undirected,exist,43
44,9,33,Undirected,exist,44
45,13,33,Undirected,exist,45
46,14,32,Undirected,exist,46
47,14,33,Undirected,exist,47
48,15,32,Undirected,exist,48
49,15,33,Undirected,exist,49
50,18,32,Undirected,exist,50
51,18,33,Undirected,exist,51
52,19,33,Undirected,exist,52
53,20,32,Undirected,exist,53
54,20,33,Undirected,exist,54
55,22,32,Undirected,exist,55
56,22,33,Undirected,exist,56
57,23,25,Undirected,exist,57
58,23,27,Undirected,exist,58
59,23,29,Undirected,exist,59
60,23,32,Undirected,exist,60
61,23,33,Undirected,exist,61
62,24,25,Undirected,exist,62
63,24,27,Undirected,exist,63
64,24,31,Undirected,exist,64
65,25,31,Undirected,exist,65
66,26,29,Undirected,exist,66
67,26,33,Undirected,exist,67
68,27,33,Undirected,exist,68
69,28,31,Undirected,exist,69
70,28,33,Undirected,exist,70
71,29,32,Undirected,exist,71
72,29,33,Undirected,exist,72
73,30,32,Undirected,exist,73
74,30,33,Undirected,exist,74
75,31,32,Undirected,exist,75
76,31,33,Undirected,exist,76
77,32,33,Undirected,exist,77
